[2019-01-08 16:59:05,247 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV HEADER SUCCESS---
[2019-01-08 16:59:08,560 - VISUAL-RECOGNITION - ERROR] - --- WRITE CSV FAIL ---CLASSNAME : M00014---IMGNAME : M00014_T_2.jpg---Error: Unknown error, Code: 404 , X-dp-watson-tran-id: gateway01-2551953893 , X-global-transaction-id: 7ecac92c5c34665c981bb9e5--
[2019-01-08 17:32:51,556 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV HEADER SUCCESS---
[2019-01-08 17:35:14,432 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : M00014_T_2.jpg-----
[2019-01-08 17:38:58,338 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV HEADER SUCCESS---
[2019-01-08 17:39:01,531 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00019---IMGNAME : 握り寿司_板１.jpg-----
[2019-01-08 17:39:03,691 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : 牛丼_自炊１.jpg-----
[2019-01-08 17:39:05,472 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : M00014_T_1.jpg-----
[2019-01-08 17:39:07,380 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : M00014_T_2.jpg-----
[2019-01-08 17:39:08,976 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : 牛丼_松屋.jpg-----
[2019-01-08 17:41:32,898 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV HEADER SUCCESS---
[2019-01-08 17:41:36,563 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : M00014_T_1 2.jpg-----
[2019-01-08 17:45:59,518 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV HEADER SUCCESS---
[2019-01-08 17:46:03,355 - VISUAL-RECOGNITION - INFO] - --- WRITE CSV SUCCESS ---CLASSNAME : M00014---IMGNAME : M00014_0002_BASE_D3.jpg-----
